"COUNTRY.Name","INDICATOR.Name","TYPE_OF_TRANSFORMATION.Name","FREQUENCY.Name","TIME_PERIOD","OBS_VALUE"
"Costa Rica","Loan Accounts, Commercial banks","Number","Annual","2018","4882882"
"Costa Rica","Loan Accounts, Commercial banks","Number","Annual","2019","4949481"
"Costa Rica","Loan Accounts, Commercial banks","Number","Annual","2020","4416145"
"Costa Rica","Loan Accounts, Commercial banks","Number","Annual","2021","4409093"
"Costa Rica","Loan Accounts, Commercial banks","Number","Annual","2022","4751954"
"Costa Rica","Loan Accounts, Commercial banks","Number","Annual","2023","5120675"
"Cyprus","Loan Accounts, Commercial banks","Number","Annual","2016","730509"
"Cyprus","Loan Accounts, Commercial banks","Number","Annual","2017","835166"
"Cyprus","Loan Accounts, Commercial banks","Number","Annual","2018","696133"
"Cyprus","Loan Accounts, Commercial banks","Number","Annual","2019","614924"
"Cyprus","Loan Accounts, Commercial banks","Number","Annual","2020","541006"
"Cyprus","Loan Accounts, Commercial banks","Number","Annual","2021","508985"
"Cyprus","Loan Accounts, Commercial banks","Number","Annual","2022","492075"
"Cyprus","Loan Accounts, Commercial banks","Number","Annual","2023","500534"
"Germany","Loan Accounts, Commercial banks","Number","Annual","2016",""
"Germany","Loan Accounts, Commercial banks","Number","Annual","2017",""
"Germany","Loan Accounts, Commercial banks","Number","Annual","2018",""
"Germany","Loan Accounts, Commercial banks","Number","Annual","2019",""
"Germany","Loan Accounts, Commercial banks","Number","Annual","2020",""
"Germany","Loan Accounts, Commercial banks","Number","Annual","2021",""
"Germany","Loan Accounts, Commercial banks","Number","Annual","2022",""
"Germany","Loan Accounts, Commercial banks","Number","Annual","2023",""
"Djibouti","Loan Accounts, Commercial banks","Number","Annual","2016","27892"
"Djibouti","Loan Accounts, Commercial banks","Number","Annual","2017","33252"
"Djibouti","Loan Accounts, Commercial banks","Number","Annual","2018","17680"
"Djibouti","Loan Accounts, Commercial banks","Number","Annual","2019","20879"
"Djibouti","Loan Accounts, Commercial banks","Number","Annual","2021","46980"
"Djibouti","Loan Accounts, Commercial banks","Number","Annual","2022","50050"
